lambda_per_hour,seed,scheduler,total_arrivals,accepted,rejected,accept_rate,sla_rate,avg_delay_ms,p95_delay_ms,avg_control_delay_ms,p95_control_delay_ms,total_cost_cny,cost_per_accepted_cny,fallback_timeout,fallback_service_unavailable,fallback_illegal_action,policy_reject
4,3,ddqn,287,0,287,0.000000,0.000000,0.000000,0.000000,1.453380,2.258100,0.000000,0.000000,0,0,0,287
4,4,ddqn,283,0,283,0.000000,0.000000,0.000000,0.000000,1.433576,1.981900,0.000000,0.000000,0,0,0,283
8,0,best_fit,548,548,0,1.000000,1.000000,22.515313,39.968564,0.000241,0.000300,4248.613333,7.752944,0,0,0,0
8,1,best_fit,547,547,0,1.000000,1.000000,24.736319,39.968564,0.000234,0.000300,4085.438333,7.468809,0,0,0,0
8,2,best_fit,584,584,0,1.000000,1.000000,23.804550,39.968564,0.000231,0.000300,4273.847500,7.318232,0,0,0,0
8,3,best_fit,547,547,0,1.000000,1.000000,23.078487,39.968564,0.000315,0.000300,4035.059167,7.376708,0,0,0,0
8,4,best_fit,566,566,0,1.000000,1.000000,24.990026,39.968564,0.000230,0.000300,4252.893333,7.513946,0,0,0,0
8,0,local_regression_heuristic,548,548,0,1.000000,1.000000,14.751940,20.942282,0.000505,0.000600,5834.888333,10.647606,0,0,0,0
8,1,local_regression_heuristic,547,547,0,1.000000,1.000000,16.228468,20.942282,0.000326,0.000500,5649.154167,10.327521,0,0,0,0
8,2,local_regression_heuristic,584,584,0,1.000000,1.000000,15.100596,20.942282,0.000362,0.000500,6152.589167,10.535255,0,0,0,0
8,3,local_regression_heuristic,547,547,0,1.000000,1.000000,15.134309,20.942282,0.000376,0.000400,5685.712500,10.394356,0,0,0,0
8,4,local_regression_heuristic,566,566,0,1.000000,1.000000,16.438678,20.942282,0.000302,0.000400,5801.272500,10.249598,0,0,0,0
8,0,random_feasible,548,548,0,1.000000,1.000000,17.746986,31.121128,0.000118,0.000200,5156.865000,9.410338,0,0,0,0
8,1,random_feasible,547,547,0,1.000000,1.000000,19.773347,39.968564,0.000125,0.000200,4901.135000,8.960027,0,0,0,0
8,2,random_feasible,584,584,0,1.000000,1.000000,18.883172,31.121128,0.000105,0.000200,5348.395000,9.158211,0,0,0,0
8,3,random_feasible,547,547,0,1.000000,1.000000,18.158307,31.121128,0.000171,0.000200,4991.639167,9.125483,0,0,0,0
8,4,random_feasible,566,566,0,1.000000,1.000000,20.124907,39.968564,0.000135,0.000200,5126.191667,9.056876,0,0,0,0
8,0,ddqn,532,2,530,0.003759,1.000000,20.942282,20.942282,1.323057,2.222600,23.094167,11.547083,0,2,0,530
8,1,ddqn,542,3,539,0.005535,1.000000,17.673803,20.942282,1.290951,2.191100,33.705000,11.235000,0,3,0,539
8,2,ddqn,584,3,581,0.005137,1.000000,11.136846,11.136846,1.400824,2.185400,34.418333,11.472778,0,3,0,581
8,3,ddqn,566,1,565,0.001767,1.000000,20.942282,20.942282,1.323361,2.136400,7.400833,7.400833,0,1,0,565
8,4,ddqn,562,6,556,0.010676,1.000000,16.039564,20.942282,1.272546,2.214300,53.856667,8.976111,0,6,0,556
12,0,best_fit,838,838,0,1.000000,1.000000,24.433958,39.968564,0.000149,0.000200,5750.358333,6.862003,0,0,0,0
12,1,best_fit,851,851,0,1.000000,1.000000,26.496455,39.968564,0.000214,0.000200,5989.057500,7.037670,0,0,0,0
12,2,best_fit,892,892,0,1.000000,1.000000,24.965891,39.968564,0.000204,0.000300,6037.831667,6.768870,0,0,0,0
12,3,best_fit,819,819,0,1.000000,1.000000,24.893337,39.968564,0.000169,0.000200,5717.990833,6.981674,0,0,0,0
12,4,best_fit,818,818,0,1.000000,1.000000,26.100516,39.968564,0.000148,0.000200,5698.909167,6.966882,0,0,0,0
12,0,local_regression_heuristic,838,838,0,1.000000,1.000000,14.770394,20.942282,0.000281,0.000500,8614.302500,10.279597,0,0,0,0
12,1,local_regression_heuristic,851,851,0,1.000000,1.000000,16.547745,20.942282,0.000283,0.000500,8783.630000,10.321539,0,0,0,0
12,2,local_regression_heuristic,892,892,0,1.000000,1.000000,15.065297,20.942282,0.000244,0.000300,9202.178333,10.316343,0,0,0,0
12,3,local_regression_heuristic,819,819,0,1.000000,1.000000,15.320702,20.942282,0.000322,0.000500,8515.862500,10.397879,0,0,0,0
12,4,local_regression_heuristic,818,818,0,1.000000,1.000000,16.406024,20.942282,0.000258,0.000400,8441.051667,10.319134,0,0,0,0
12,0,random_feasible,838,838,0,1.000000,1.000000,19.281137,39.968564,0.000138,0.000200,7157.408333,8.541060,0,0,0,0
12,1,random_feasible,851,851,0,1.000000,1.000000,21.689277,39.968564,0.000139,0.000200,7279.477500,8.554028,0,0,0,0
12,2,random_feasible,892,892,0,1.000000,1.000000,19.521178,31.494538,0.000140,0.000200,7766.862500,8.707245,0,0,0,0
12,3,random_feasible,819,819,0,1.000000,1.000000,19.567538,31.494538,0.000103,0.000200,7126.735000,8.701752,0,0,0,0
12,4,random_feasible,818,818,0,1.000000,1.000000,20.824492,39.968564,0.000097,0.000200,7207.609167,8.811258,0,0,0,0
12,0,ddqn,822,133,689,0.161800,1.000000,18.725997,31.494538,2.088628,3.743600,1114.583333,8.380326,0,133,0,689
12,1,ddqn,883,129,754,0.146093,1.000000,21.179728,39.968564,2.054076,3.675100,1152.390000,8.933256,0,129,0,754
12,2,ddqn,895,142,753,0.158659,1.000000,18.792163,31.494538,2.282115,4.151600,1201.431667,8.460786,0,142,0,753
12,3,ddqn,848,151,697,0.178066,1.000000,20.014765,39.968564,2.138366,3.961700,1304.954167,8.642081,0,151,0,697
12,4,ddqn,818,195,623,0.238386,1.000000,21.750217,39.968564,1.868407,3.675000,1626.310833,8.340056,0,195,0,623
16,0,best_fit,1129,1129,0,1.000000,1.000000,25.650409,39.968564,0.000173,0.000200,7326.290000,6.489185,0,0,0,0
16,1,best_fit,1134,1133,1,0.999118,1.000000,27.477021,39.968564,0.000542,0.001500,7575.154167,6.685926,0,0,0,0
16,2,best_fit,1179,1178,1,0.999152,1.000000,26.140712,39.968564,0.005770,0.000500,7512.202500,6.377082,0,0,0,0
16,3,best_fit,1096,1096,0,1.000000,1.000000,26.076425,39.968564,0.000341,0.000400,7159.815833,6.532679,0,0,0,0
16,4,best_fit,1069,1069,0,1.000000,1.000000,27.156760,39.968564,0.000622,0.000500,7294.992500,6.824128,0,0,0,0
16,0,local_regression_heuristic,1129,1129,0,1.000000,1.000000,15.445847,21.315692,0.000288,0.000600,11426.975833,10.121325,0,0,0,0
16,1,local_regression_heuristic,1134,1134,0,1.000000,1.000000,17.003666,21.315692,0.000273,0.000500,11499.825000,10.140939,0,0,0,0
16,2,local_regression_heuristic,1179,1179,0,1.000000,1.000000,15.827613,21.315692,0.000283,0.000400,11582.036667,9.823610,0,0,0,0
16,3,local_regression_heuristic,1096,1096,0,1.000000,1.000000,15.594548,21.315692,0.000302,0.000800,11030.808333,10.064606,0,0,0,0
16,4,local_regression_heuristic,1069,1069,0,1.000000,1.000000,16.867066,21.315692,0.000240,0.000300,10894.472500,10.191275,0,0,0,0
16,0,random_feasible,1129,1129,0,1.000000,1.000000,20.647435,39.968564,0.000081,0.000100,9272.798333,8.213285,0,0,0,0
16,1,random_feasible,1134,1134,0,1.000000,1.000000,22.394412,39.968564,0.000080,0.000100,9278.415833,8.182025,0,0,0,0
16,2,random_feasible,1179,1179,0,1.000000,1.000000,20.670801,39.968564,0.000069,0.000100,9595.314167,8.138519,0,0,0,0
16,3,random_feasible,1096,1096,0,1.000000,1.000000,20.890171,39.968564,0.000070,0.000100,9016.979167,8.227171,0,0,0,0
16,4,random_feasible,1069,1069,0,1.000000,1.000000,21.727905,39.968564,0.000069,0.000100,9185.058333,8.592197,0,0,0,0
16,0,ddqn,1150,331,819,0.287826,1.000000,20.710818,31.494538,1.635660,3.243000,2724.933333,8.232427,0,331,0,819
16,1,ddqn,1156,230,926,0.198962,1.000000,22.309734,39.968564,1.725514,3.123100,1906.740000,8.290174,0,230,0,926
16,2,ddqn,1140,250,890,0.219298,1.000000,21.039663,39.968564,1.615847,3.060800,1977.895000,7.911580,0,250,0,890
16,3,ddqn,1128,140,988,0.124113,1.000000,20.130676,31.494538,1.500553,2.421000,1187.789167,8.484208,0,140,0,988
16,4,ddqn,1115,298,817,0.267265,1.000000,22.915026,39.968564,1.472915,2.847100,2446.198333,8.208719,0,298,0,817
