lambda_per_hour,seed,scheduler,total_arrivals,accepted,rejected,accept_rate,sla_rate,avg_delay_ms,p95_delay_ms,avg_control_delay_ms,p95_control_delay_ms,total_cost_cny,cost_per_accepted_cny,fallback_timeout,fallback_service_unavailable,fallback_illegal_action,policy_reject
4,3,ppo,283,50,233,0.176678,1.000000,15.884041,21.315692,6.274234,11.396000,503.791667,10.075833,0,50,0,233
4,4,ppo,282,17,265,0.060284,1.000000,18.168157,31.121128,6.790422,10.019200,157.735833,9.278578,0,17,0,265
8,0,best_fit,548,548,0,1.000000,1.000000,22.515313,39.968564,0.000365,0.000600,4248.613333,7.752944,0,0,0,0
8,1,best_fit,547,547,0,1.000000,1.000000,24.736319,39.968564,0.000397,0.000400,4085.438333,7.468809,0,0,0,0
8,2,best_fit,584,584,0,1.000000,1.000000,23.804550,39.968564,0.000289,0.000400,4273.847500,7.318232,0,0,0,0
8,3,best_fit,547,547,0,1.000000,1.000000,23.078487,39.968564,0.000518,0.000500,4035.059167,7.376708,0,0,0,0
8,4,best_fit,566,566,0,1.000000,1.000000,24.990026,39.968564,0.000287,0.000400,4252.893333,7.513946,0,0,0,0
8,0,local_regression_heuristic,548,548,0,1.000000,1.000000,14.751940,20.942282,0.000602,0.000900,5834.888333,10.647606,0,0,0,0
8,1,local_regression_heuristic,547,547,0,1.000000,1.000000,16.228468,20.942282,0.000486,0.000600,5649.154167,10.327521,0,0,0,0
8,2,local_regression_heuristic,584,584,0,1.000000,1.000000,15.100596,20.942282,0.000842,0.000600,6152.589167,10.535255,0,0,0,0
8,3,local_regression_heuristic,547,547,0,1.000000,1.000000,15.134309,20.942282,0.000898,0.000900,5685.712500,10.394356,0,0,0,0
8,4,local_regression_heuristic,566,566,0,1.000000,1.000000,16.438678,20.942282,0.000468,0.000700,5801.272500,10.249598,0,0,0,0
8,0,random_feasible,548,548,0,1.000000,1.000000,17.746986,31.121128,0.000152,0.000600,5156.865000,9.410338,0,0,0,0
8,1,random_feasible,547,547,0,1.000000,1.000000,19.773347,39.968564,0.000189,0.000500,4901.135000,8.960027,0,0,0,0
8,2,random_feasible,584,584,0,1.000000,1.000000,18.883172,31.121128,0.000132,0.000400,5348.395000,9.158211,0,0,0,0
8,3,random_feasible,547,547,0,1.000000,1.000000,18.158307,31.121128,0.000109,0.000200,4991.639167,9.125483,0,0,0,0
8,4,random_feasible,566,566,0,1.000000,1.000000,20.124907,39.968564,0.000113,0.000200,5126.191667,9.056876,0,0,0,0
8,0,ppo,537,33,504,0.061453,1.000000,18.311851,31.121128,6.584377,9.588700,292.110000,8.851818,0,33,0,504
8,1,ppo,553,103,450,0.186257,1.000000,18.831040,31.121128,5.879794,9.851200,916.098333,8.894159,0,103,0,450
8,2,ppo,590,90,500,0.152542,1.000000,18.668224,31.121128,6.285885,9.620900,840.306667,9.336741,0,90,0,500
8,3,ppo,564,98,466,0.173759,1.000000,17.711338,31.121128,5.933924,9.622300,908.162500,9.266964,0,98,0,466
8,4,ppo,568,100,468,0.176056,1.000000,19.344826,39.968564,5.998453,10.028700,918.951667,9.189517,0,100,0,468
12,0,best_fit,838,838,0,1.000000,1.000000,24.433958,39.968564,0.000188,0.000300,5750.358333,6.862003,0,0,0,0
12,1,best_fit,851,851,0,1.000000,1.000000,26.496455,39.968564,0.000199,0.000300,5989.057500,7.037670,0,0,0,0
12,2,best_fit,892,892,0,1.000000,1.000000,24.965891,39.968564,0.000207,0.000400,6037.831667,6.768870,0,0,0,0
12,3,best_fit,819,819,0,1.000000,1.000000,24.893337,39.968564,0.000188,0.000300,5717.990833,6.981674,0,0,0,0
12,4,best_fit,818,818,0,1.000000,1.000000,26.100516,39.968564,0.000153,0.000200,5698.909167,6.966882,0,0,0,0
12,0,local_regression_heuristic,838,838,0,1.000000,1.000000,14.770394,20.942282,0.000397,0.000700,8614.302500,10.279597,0,0,0,0
12,1,local_regression_heuristic,851,851,0,1.000000,1.000000,16.547745,20.942282,0.000276,0.000400,8783.630000,10.321539,0,0,0,0
12,2,local_regression_heuristic,892,892,0,1.000000,1.000000,15.065297,20.942282,0.000275,0.000400,9202.178333,10.316343,0,0,0,0
12,3,local_regression_heuristic,819,819,0,1.000000,1.000000,15.320702,20.942282,0.000246,0.000400,8515.862500,10.397879,0,0,0,0
12,4,local_regression_heuristic,818,818,0,1.000000,1.000000,16.406024,20.942282,0.000252,0.000400,8441.051667,10.319134,0,0,0,0
12,0,random_feasible,838,838,0,1.000000,1.000000,19.281137,39.968564,0.000145,0.000200,7157.408333,8.541060,0,0,0,0
12,1,random_feasible,851,851,0,1.000000,1.000000,21.689277,39.968564,0.000136,0.000200,7279.477500,8.554028,0,0,0,0
12,2,random_feasible,892,892,0,1.000000,1.000000,19.521178,31.494538,0.000143,0.000200,7766.862500,8.707245,0,0,0,0
12,3,random_feasible,819,819,0,1.000000,1.000000,19.567538,31.494538,0.000235,0.000200,7126.735000,8.701752,0,0,0,0
12,4,random_feasible,818,818,0,1.000000,1.000000,20.824492,39.968564,0.000141,0.000200,7207.609167,8.811258,0,0,0,0
12,0,ppo,815,125,690,0.153374,1.000000,18.738838,39.968564,6.175989,10.218100,1116.010000,8.928080,0,125,0,690
12,1,ppo,871,150,721,0.172216,1.000000,21.599196,39.968564,5.945978,10.530500,1326.354167,8.842361,0,150,0,721
12,2,ppo,877,174,703,0.198404,1.000000,18.928859,31.121128,6.067152,10.814000,1478.205000,8.495431,0,174,0,703
12,3,ppo,842,202,640,0.239905,1.000000,19.463111,31.494538,5.617383,10.091500,1694.345000,8.387847,0,202,0,640
12,4,ppo,819,207,612,0.252747,1.000000,20.543782,39.968564,5.376797,9.164500,1822.923333,8.806393,0,207,0,612
16,0,best_fit,1129,1129,0,1.000000,1.000000,25.650409,39.968564,0.000165,0.000200,7326.290000,6.489185,0,0,0,0
16,1,best_fit,1134,1133,1,0.999118,1.000000,27.477021,39.968564,0.001017,0.000500,7575.154167,6.685926,0,0,0,0
16,2,best_fit,1179,1178,1,0.999152,1.000000,26.140712,39.968564,0.000276,0.000300,7512.202500,6.377082,0,0,0,0
16,3,best_fit,1096,1096,0,1.000000,1.000000,26.076425,39.968564,0.000313,0.000300,7159.815833,6.532679,0,0,0,0
16,4,best_fit,1069,1069,0,1.000000,1.000000,27.156760,39.968564,0.026195,0.000400,7294.992500,6.824128,0,0,0,0
16,0,local_regression_heuristic,1129,1129,0,1.000000,1.000000,15.445847,21.315692,0.000707,0.000300,11426.975833,10.121325,0,0,0,0
16,1,local_regression_heuristic,1134,1134,0,1.000000,1.000000,17.003666,21.315692,0.000220,0.000300,11499.825000,10.140939,0,0,0,0
16,2,local_regression_heuristic,1179,1179,0,1.000000,1.000000,15.827613,21.315692,0.000218,0.000300,11582.036667,9.823610,0,0,0,0
16,3,local_regression_heuristic,1096,1096,0,1.000000,1.000000,15.594548,21.315692,0.001417,0.000300,11030.808333,10.064606,0,0,0,0
16,4,local_regression_heuristic,1069,1069,0,1.000000,1.000000,16.867066,21.315692,0.000211,0.000300,10894.472500,10.191275,0,0,0,0
16,0,random_feasible,1129,1129,0,1.000000,1.000000,20.647435,39.968564,0.000069,0.000100,9272.798333,8.213285,0,0,0,0
16,1,random_feasible,1134,1134,0,1.000000,1.000000,22.394412,39.968564,0.000076,0.000100,9278.415833,8.182025,0,0,0,0
16,2,random_feasible,1179,1179,0,1.000000,1.000000,20.670801,39.968564,0.000071,0.000100,9595.314167,8.138519,0,0,0,0
16,3,random_feasible,1096,1096,0,1.000000,1.000000,20.890171,39.968564,0.000069,0.000100,9016.979167,8.227171,0,0,0,0
16,4,random_feasible,1069,1069,0,1.000000,1.000000,21.727905,39.968564,0.000067,0.000100,9185.058333,8.592197,0,0,0,0
16,0,ppo,1141,232,909,0.203330,1.000000,19.498689,31.494538,5.490043,9.061800,1889.085000,8.142608,0,232,0,909
16,1,ppo,1170,269,901,0.229915,1.000000,22.810083,39.968564,5.337097,9.461100,2182.800000,8.114498,0,269,0,901
16,2,ppo,1157,248,909,0.214347,1.000000,20.345918,31.494538,5.662153,9.954800,2058.234167,8.299331,0,248,0,909
16,3,ppo,1119,232,887,0.207328,1.000000,21.104602,39.968564,5.253066,8.678600,1875.977500,8.086110,0,232,0,887
16,4,ppo,1099,181,918,0.164695,1.000000,21.612164,39.968564,5.603927,10.277900,1577.090833,8.713209,0,181,0,918
4,0,ddqn,284,0,284,0.000000,0.000000,0.000000,0.000000,2.098529,2.889300,0.000000,0.000000,0,0,0,284
4,1,ddqn,276,0,276,0.000000,0.000000,0.000000,0.000000,1.465934,2.214200,0.000000,0.000000,0,0,0,276
4,2,ddqn,284,1,283,0.003521,1.000000,20.942282,20.942282,1.474937,2.398400,13.018333,13.018333,0,1,0,283
4,3,ddqn,287,0,287,0.000000,0.000000,0.000000,0.000000,1.453380,2.258100,0.000000,0.000000,0,0,0,287
4,4,ddqn,283,0,283,0.000000,0.000000,0.000000,0.000000,1.433576,1.981900,0.000000,0.000000,0,0,0,283
8,0,ddqn,532,2,530,0.003759,1.000000,20.942282,20.942282,1.323057,2.222600,23.094167,11.547083,0,2,0,530
8,1,ddqn,542,3,539,0.005535,1.000000,17.673803,20.942282,1.290951,2.191100,33.705000,11.235000,0,3,0,539
8,2,ddqn,584,3,581,0.005137,1.000000,11.136846,11.136846,1.400824,2.185400,34.418333,11.472778,0,3,0,581
8,3,ddqn,566,1,565,0.001767,1.000000,20.942282,20.942282,1.323361,2.136400,7.400833,7.400833,0,1,0,565
8,4,ddqn,562,6,556,0.010676,1.000000,16.039564,20.942282,1.272546,2.214300,53.856667,8.976111,0,6,0,556
12,0,ddqn,822,133,689,0.161800,1.000000,18.725997,31.494538,2.088628,3.743600,1114.583333,8.380326,0,133,0,689
12,1,ddqn,883,129,754,0.146093,1.000000,21.179728,39.968564,2.054076,3.675100,1152.390000,8.933256,0,129,0,754
12,2,ddqn,895,142,753,0.158659,1.000000,18.792163,31.494538,2.282115,4.151600,1201.431667,8.460786,0,142,0,753
12,3,ddqn,848,151,697,0.178066,1.000000,20.014765,39.968564,2.138366,3.961700,1304.954167,8.642081,0,151,0,697
12,4,ddqn,818,195,623,0.238386,1.000000,21.750217,39.968564,1.868407,3.675000,1626.310833,8.340056,0,195,0,623
16,0,ddqn,1150,331,819,0.287826,1.000000,20.710818,31.494538,1.635660,3.243000,2724.933333,8.232427,0,331,0,819
16,1,ddqn,1156,230,926,0.198962,1.000000,22.309734,39.968564,1.725514,3.123100,1906.740000,8.290174,0,230,0,926
16,2,ddqn,1140,250,890,0.219298,1.000000,21.039663,39.968564,1.615847,3.060800,1977.895000,7.911580,0,250,0,890
16,3,ddqn,1128,140,988,0.124113,1.000000,20.130676,31.494538,1.500553,2.421000,1187.789167,8.484208,0,140,0,988
16,4,ddqn,1115,298,817,0.267265,1.000000,22.915026,39.968564,1.472915,2.847100,2446.198333,8.208719,0,298,0,817
4,0,a3c,284,0,284,0.000000,0.000000,0.000000,0.000000,2.058125,3.041400,0.000000,0.000000,0,0,0,284
4,1,a3c,276,0,276,0.000000,0.000000,0.000000,0.000000,1.624096,2.693400,0.000000,0.000000,0,0,0,276
4,2,a3c,284,0,284,0.000000,0.000000,0.000000,0.000000,1.712564,2.689400,0.000000,0.000000,0,0,0,284
4,3,a3c,287,1,286,0.003484,1.000000,11.136846,11.136846,1.306009,2.153900,10.700000,10.700000,0,1,0,286
4,4,a3c,283,0,283,0.000000,0.000000,0.000000,0.000000,1.524702,2.117400,0.000000,0.000000,0,0,0,283
8,0,a3c,532,1,531,0.001880,1.000000,11.136846,11.136846,1.484436,2.421000,14.534167,14.534167,0,1,0,531
8,1,a3c,544,0,544,0.000000,0.000000,0.000000,0.000000,1.206629,1.998400,0.000000,0.000000,0,0,0,544
8,2,a3c,586,1,585,0.001706,1.000000,20.942282,20.942282,1.166835,1.963400,10.878333,10.878333,0,1,0,585
8,3,a3c,566,0,566,0.000000,0.000000,0.000000,0.000000,1.418617,2.232500,0.000000,0.000000,0,0,0,566
8,4,a3c,560,23,537,0.041071,1.000000,18.375161,20.942282,1.495155,2.917500,187.606667,8.156812,0,23,0,537
12,0,a3c,826,130,696,0.157385,1.000000,21.238598,39.968564,2.041450,3.672100,1092.826667,8.406359,0,130,0,696
12,1,a3c,865,199,666,0.230058,1.000000,21.432707,39.968564,1.972071,3.598600,1779.142500,8.940415,0,199,0,666
12,2,a3c,880,262,618,0.297727,1.000000,21.522784,39.968564,2.378463,5.512200,2175.755833,8.304412,0,262,0,618
12,3,a3c,860,211,649,0.245349,1.000000,20.964647,39.968564,2.021628,4.168800,1695.325833,8.034720,0,211,0,649
12,4,a3c,817,254,563,0.310894,1.000000,22.574359,39.968564,2.020560,3.292800,2153.553333,8.478556,1,253,0,563
16,0,a3c,1165,404,761,0.346781,1.000000,22.402571,39.968564,1.780820,3.467700,3147.940000,7.791931,0,404,0,761
16,1,a3c,1143,299,844,0.261592,1.000000,23.154390,39.968564,1.551273,2.845700,2433.625833,8.139217,0,299,0,844
16,2,a3c,1163,228,935,0.196045,1.000000,21.507608,39.968564,1.616114,2.884700,1858.946667,8.153275,0,228,0,935
16,3,a3c,1127,285,842,0.252884,1.000000,21.474852,39.968564,1.597154,3.046200,2305.136667,8.088199,0,285,0,842
16,4,a3c,1092,228,864,0.208791,1.000000,22.915414,39.968564,1.551394,2.777900,1869.290000,8.198640,0,228,0,864
